labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
FL6300804,15820040,S,51527,50801,S63_008,5460,,79,102,79,100,Btg1,518241,1986-FL125-S63_008,Ocilla,,"Aquic Arenic Paleudults, loamy, siliceous, semiactive, thermic.",529535,S1986-FL125-S63_008,4/15/2011 0:00,29.9777241,-82.5494385,US,United States,FL,Florida,FL125,Union,138,North-Central Florida Ridge,FL125,"Union County, Florida",NASIS updated 5/4/2020 8:46:10 AM,4/23/2016 6:15,LFS,0.66,6N2,0.3,6O2,0.03,6Q2,,,,,0.1,6A1a,4.3,8C1e,5.2,8C1a,,,,,,,,,,LFS,3A1a1a,8.6,5.9,,,,
VPI02962,15857930,S,57703,56902,VPI0296,5566,,23,48,23,48,Bt1,363531,V1984-VA081-296,Wickham,,"Fine-loamy, mixed, semiactive, thermic Typic Hapludults",363894,VPI-Wickh-5,9/25/2009 0:00,36.5844574,-77.5505524,US,United States,VA,Virginia,VA081,Greensville,133A,Southern Coastal Plain,VA081,"Greensville County, Virginia",NASIS updated 5/4/2020 8:50:57 AM,4/18/2014 18:09,cosl,0.94,6N2a,0.26,6O2a,0.09,6Q2b,,,,,0.17,6A1a,,,5.6,8C1a,,,,,,,,,,cosl,hyd1,13.6,30.1,56.3,,,
MU062490,15806243,S,49371,48657,M9905521,5429,,28,58,28,58,Bt2,87943,1999MO055021,Lily,series,"Fine-loamy, siliceous, semiactive, mesic Typic Hapludults",88132,1999MO055021,6/11/1999 0:00,37.928848,-91.289589,US,United States,MO,Missouri,MO055,Crawford,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:42:28 AM,7/25/2019 13:05,sicl,0.2,4B1a1,2.7,4B1a1,0.3,4B1a1,,,,,0.5,6A2d,3.7,8C1e,4.2,8C1a,,,,,,,17,,,sicl,3A1a1a,35.3,52.8,11.9,,,
06N03500,202722,S,33419,33270,06N0834,4827,S06SC061-005-1,0,15,0,15,A,212125,S2006SC061005,Cowarts,taxadjunct,"Fine-loamy, kaolinitic, thermic Plinthic Kanhapludults",214140,Turkey Creek - Lucknow,5/17/2006 0:00,34.2937241,-80.3017349,US,United States,SC,South Carolina,SC061,Lee,133A,Southern Coastal Plain,SC061,"Lee County, South Carolina",NASIS updated 5/4/2020 7:43:59 AM,4/20/2016 13:30,cosl,1.62,4B1a1a,0.36,4B1a1a,0.19,4B1a1a,3.79,4H2a,0.122,4H2a,,,3.9,4C1a2a,4.3,4C1a2a,5,4D3a1,,,,,19,3.8,31,cosl,3A1a1a,12.9,12.6,74.5,4,1.4,DbWR1
FL1601502,15814651,S,50715,49989,S16_015,5460,,8,15,8,15,E,517429,1975-FL031-S16_015,Sapelo,,"Ultic Alaquods, sandy, siliceous, thermic.",528665,S1975-FL031-S16_015,4/15/2011 0:00,30.4763165,-81.6974106,US,United States,FL,Florida,FL031,Duval,153A,Atlantic Coast Flatwoods,FL031,"Duval County, Florida",NASIS updated 5/4/2020 8:45:15 AM,4/24/2016 14:26,FS,0.74,6N2,0.13,6O2,0.01,6Q2,,,,,0.84,6A1a,3.5,8C1e,4.9,8C1a,,,,,,,,,,FS,3A1a1a,1.8,5.2,,,,
CL0287,15936273,S,73032,133765,S87SC049-3,5932,S1987SC049003-3,61,94,61,94,Btg2,575605,S1987SC049003,Wahee,series,"Clayey, mixed, thermic Aeric Ochraquults",582299,S1987SC049003,4/10/1987 0:00,32.6183639,-81.3442611,US,United States,SC,South Carolina,SC049,Hampton,153A,Atlantic Coast Flatwoods,SC049,"Hampton County, South Carolina",NASIS updated 5/4/2020 8:46:45 AM,11/2/2016 12:24,c,0.1,4B1a1,1.82,4B1a1,0.08,4B1a1,,,,,,,,,4.8,8C1a,,,,,,,19,,,c,3A1a1a,72.2,11.8,15.9,,,
00P05335,162849,S,25541,25541,00P0864,3568,,61,74,61,74,BE,108592,S2000NC183001,Bonneau,series,"Fine-loamy, kaolinitic, thermic Arenic Kandiudult",108578,S2000NC183001,5/4/2000 0:00,,,US,United States,NC,North Carolina,NC183,Wake,,,NC183,"Wake County, North Carolina",NASIS updated 5/4/2020 7:36:58 AM,4/24/2016 14:12,sc,0.81,6N2i,0.34,6O2h,0.07,6Q2f,0.15,6A2e,0.024,6B4a,,,4.2,4C1a2a,4.9,4C1a2a,0,6S3e,,,,,22,0.1,,sc,3A1a1a,36.2,7.5,56.3,5,1.67,4A1h
40A30590,28933,S,3787,3787,40A3993,1,45644,30,41,30,41,Bt1,102425,S1945LA111001,Ruston,taxadjunct,"Coarse-loamy, siliceous, semiactive, thermic Typic Paleudalfs",102442,S1945LA111001,6/23/1945 0:00,32.669445,-92.4075012,US,United States,LA,Louisiana,LA111,Union,133B,Western Coastal Plain,LA111,"Union Parish, Louisiana",NASIS updated 5/4/2020 8:04:54 AM,4/22/2016 22:33,l,1.8,6N2b,0.7,6O2b,0.2,6Q2b,,,,,,,,,5.5,8C1a,,,,,,,,,,l,3A1a1a,12.9,36.8,50.3,0,,
89005-5-1,15742476,S,39647,39028,S89AL-005-5,5202,895-5-1,0,13,0,13,Ap,305158,89AL005005-PGM,Cowarts,series,series,305321,89AL005005-PGM,6/22/1989 0:00,31.80222893,-85.65528107,US,United States,AL,Alabama,AL005,Barbour,,,AL005,"Barbour County, Alabama",NASIS updated 5/4/2020 8:46:49 AM,1/27/2014 17:14,,0.92,NK,0.86,NK,0.24,NK,,,,,,,,,6.5,NK,,,,,,,95,,,,3A1a1a,7.2,13.4,79.4,,,
MU053592,15801785,S,48691,47977,M9512515,5429,,0,15,0,15,A,90815,1995MO125015,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",90875,1995MO125015,9/5/1995 0:00,38.2804409,-92.0851882,US,United States,MO,Missouri,MO125,Maries,116B,Springfield Plain,,,NASIS updated 5/4/2020 8:40:34 AM,7/25/2019 13:05,l,17.5,4B1a1,9,4B1a1,0.3,4B1a1,,,,,3.5,6A2d,,,7.3,8C1a,,,,,,,97,,,l,3A1a1a,25,38.5,36.5,,,
40A38778,36699,S,4890,4890,40A5149,1,62285,74,91,74,91,Bt3,100937,S1962GA225006,NORFOLK,series,,100954,S1962GA225006,4/3/1962 0:00,,,US,United States,GA,Georgia,GA225,Peach,,,GA640,"Houston and Peach Counties, Georgia",NASIS updated 5/4/2020 8:05:55 AM,4/23/2016 6:15,scl,0.6,6N2d,0.7,6O2b,0.02,6Q2a,,,,,0.04,6A1a,,,5.1,8C1a,,,,,,,,,,scl,3A1a1a,28.6,14.2,57.2,0,1.74,4A1h
81P03290,59865,S,8668,8668,81P0557,624,,43,132,43,100,Bt1,956667,81MS059001,McLaurin,series,"Coarse-loamy, siliceous, subactive, thermic Typic Paleudult",974961,81MS059001,6/1/1981 0:00,30.7161111,-88.5472222,US,United States,MS,Mississippi,MS059,Jackson,133A,Southern Coastal Plain,,,NASIS updated 5/4/2020 8:13:33 AM,6/12/2014 16:16,l,0.45,6N2e,0.49,6O2d,0.05,6Q2b,,,0.012,6B3a,0.13,6A1c,4.3,4C1a2a,5,4C1a2a,,,,,,,29,,11,l,3A1a1a,15,38.3,46.7,0,1.6,4A1h
98P00600,150275,S,23542,23542,98P0096,3188,,99,160,99,100,Bssg2,858597,97MS143001,Sharkey,taxadjunct,"Very-fine, smectitic, thermic Aeric Epiaquerts",109292,S1997MS143001,11/4/1997 0:00,34.6593056,-90.3063889,US,United States,MS,Mississippi,MS143,Tunica,131,Southern Mississippi Valley Alluvium,MS143,"Tunica County, Mississippi",NASIS updated 5/4/2020 8:29:30 AM,4/23/2016 6:08,c,26.45,6N2e,14.74,6O2d,2.87,6Q2b,0.54,6A2e,0.088,6B4a,,,6.3,4C1a2a,6.3,4C1a2a,,,,,,,95,0.5,,c,3A1a1a,75.1,23.9,1,0,1.83,4A1h
40A37791,35712,S,4741,4741,40A5000,1,7735,38,56,38,56,B3,105887,S1955TN077004,Lexington,series,,105904,S1955TN077004,4/6/1955 0:00,35.6983337,-88.3613892,US,United States,TN,Tennessee,TN077,Henderson,,,TN077,"Henderson County, Tennessee",NASIS updated 5/4/2020 8:05:47 AM,5/14/2019 17:25,sicl,3.8,6N2b,4.6,6O2b,0.4,6Q2a,,,,,0.23,6A1a,,,5,8C1a,,,,,,,76,,,sicl,3A1a1a,28.2,55.1,16.7,0,,
MU026048,15788023,S,46621,45907,M0414301,5429,,26,35,26,35,E,157426,2004MO143001,Kolin,,"Fine-silty, mixed, active, thermic Haplic Glossudalfs",161797,2004MO143001,4/5/2004 0:00,36.7046013,-89.5091858,US,United States,MO,Missouri,MO143,New Madrid,131,Southern Mississippi Valley Alluvium,MO143,"New Madrid County, Missouri",NASIS updated 5/4/2020 8:34:36 AM,5/6/2013 19:33,sil,3.4,4B1a1,0.4,4B1a1,0.3,4B1a1,,,,,0.2,6A2d,5.2,8C1e,5.8,8C1a,,,,,,,59,,,sil,3A1a1a,13.3,76,10.7,,,
FL6600201,15817106,S,51065,50339,S66_002,5460,,0,10,0,10,A,945513,1989FL131008,Lakeland,,"Typic Quartzipsamments, thermic, coated.",963206,1989FL131008,4/15/1989 0:00,30.7503,-86.2291556,US,United States,FL,Florida,FL131,Walton,133A,Southern Coastal Plain,FL131,"Walton County, Florida",NASIS updated 5/4/2020 8:46:14 AM,5/11/2015 14:47,S,0.13,6N2,0.04,6O2,0.02,6Q2,,,,,0.63,6A1a,4.5,8C1e,5,8C1a,,,,,,,,,,S,3A1a1a,1.9,5,,,,
08N01302,210858,S,34847,34633,08N0207,5048,S08FL133-001-2,18,76,18,76,C1,283573,S08FL133001,Lakeland,series,"Thermic, coated Typic Quartzipsamment",284190,S2008FL133001,12/13/2007 0:00,30.5303555,-85.7143555,US,United States,FL,Florida,FL133,Washington,133A,Southern Coastal Plain,FL133,"Washington County, Florida",NASIS updated 5/4/2020 7:46:32 AM,4/23/2016 6:08,s,0,4B1a1a,0,4B1a1a,0,4B1a1a,0.27,4H2a,0.005,4H2a,,,4.6,4C1a2a,5.1,4C1a2a,,,,,,,,0.3,54,s,3A1a1a,1.9,3.7,94.4,0,,
78P00771,47957,S,6615,6615,78P0147,182,,23,71,23,71,B2,113864,S1977TN171004,Ashe,series,"Coarse-loamy, mixed, mesic",113209,S1977TN171004,11/1/1977 0:00,,,US,United States,TN,Tennessee,TN171,Unicoi,,,TN171,"Unicoi County, Tennessee",NASIS updated 5/4/2020 8:11:03 AM,4/22/2016 17:03,l,0.88,6N2e,1.55,6O2d,0.17,6Q2b,,,,,0.3,6A1c,4.2,8C1e,5,8C1a,,,,,,,27,,,l,3A1a1a,18.4,45,36.6,5,,
40A33849,31872,S,4179,4179,40A4424,1,77P2496,43,57,43,57,Bg/Ag,174085,S1976AR029003,Wrightsville,series,"Fine, mixed, thermic Typic Glossaqualfs",177602,S1976AR029003,6/1/1976 0:00,,,US,United States,AR,Arkansas,AR029,Conway,,,AR029,"Conway County, Arkansas",NASIS updated 5/4/2020 8:05:16 AM,10/13/2017 14:12,sicl,1,NK,1.4,NK,0.2,NK,,,,,,,,,4.2,NK,,,,,,,14,,,sicl,3A1a1a,33.6,59.6,6.8,0,,
MU038183,15776092,S,44792,44078,M9007325,5429,,0,5,0,5,A1,474065,1990MO073025,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",478023,1990MO073025,9/10/1990 0:00,38.9672203,-92.3450012,US,United States,MO,Missouri,MO073,Gasconade,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:37:36 AM,7/25/2019 13:05,l,17.6,4B1a1,10.7,4B1a1,0.3,4B1a1,,,,,2.4,6A2d,,,7.4,8C1a,,,,,,,100,,,l,3A1a1a,14.9,41.1,44,,,
40A37348,35269,S,4674,4674,40A4933,1,53379,33,53,33,53,B1,105815,S1953TN009029,Burton,series,,105832,S1953TN009029,2/1/1953 0:00,,,US,United States,TN,Tennessee,TN009,Blount,,,TN009,"Blount County, Tennessee",NASIS updated 5/4/2020 8:05:43 AM,4/22/2016 17:03,sil,0.2,6N2d,0.2,6O2b,0.1,6Q2a,,,,,1.68,6A1a,,,4.6,8C1a,,,,,,,,,,sil,3A1a1a,15,52.4,32.6,0,,
FL1901603,15820174,S,51552,50826,S19_016,5460,,30,48,30,48,Bh,517475,1987-FL037-S19_016,Sapelo,,NA,528711,S1987-FL037-S19_016,4/15/2011 0:00,29.8905048,-84.9824142,US,United States,FL,Florida,FL037,Franklin,152A,Eastern Gulf Coast Flatwoods,FL037,"Franklin County, Florida",NASIS updated 5/4/2020 8:45:21 AM,4/23/2016 6:15,FS,0.03,6N2,0.03,6O2,0.01,6Q2,,,,,1.22,6A1a,3.8,8C1e,4.1,8C1a,,,,,,,,,,FS,3A1a1a,2.7,4.6,,,,
FL3201504,15814281,S,50664,49938,S32_015,5460,,48,91,48,91,Eg,517656,1974-FL063-S32_015,Albany,,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",528909,S1974-FL063-S32_015,4/15/2011 0:00,30.9963131,-85.1498413,US,United States,FL,Florida,FL063,Jackson,133A,Southern Coastal Plain,FL063,"Jackson County, Florida",NASIS updated 5/4/2020 8:45:34 AM,4/23/2016 6:15,cos,0.1,6N2,,,,,,,,,0.34,6A1a,5.6,8C1e,5.6,8C1a,,,,,,,,,,cos,3A1a1a,2.3,5.7,,,,
FL4001405,15819021,S,51361,50635,S40_014,5460,,71,104,71,100,Bt4,517835,1984-FL079-S40_014,Esto,,"Typic Kandiudults, fine, kaolinitic, thermic.",529088,S1984-FL079-S40_014,4/15/2011 0:00,30.6171646,-83.4513855,US,United States,FL,Florida,FL079,Madison,133A,Southern Coastal Plain,FL079,"Madison County, Florida",NASIS updated 5/4/2020 8:45:44 AM,4/23/2016 6:15,C,0.25,6N2,0.33,6O2,0.02,6Q2,,,,,0.1,6A1a,4,8C1e,4.1,8C1a,,,,,,,,,,C,3A1a1a,56.3,6.7,,,,
84011-7-2,15742661,S,39679,39060,S84AL-011-7,5210,8411-7-2,15,36,15,36,Cg1,318746,84AL011007-pgm,Bibb,taxadjunct,"Coarse-loamy, siliceous, superactive, acid, thermic Typic fluvaquents",318432,84AL011007-pgm,11/28/1984 0:00,32.0258806,-85.5979222,US,United States,AL,Alabama,AL011,Bullock,133A,Southern Coastal Plain,AL011,"Bullock County, Alabama",NASIS updated 5/4/2020 8:46:37 AM,1/27/2014 17:14,,0.45,NK,0.15,NK,0.04,NK,,,,,,,,,5.4,NK,,,,,,,15,,,,3A1a1a,7.8,33.6,58.6,,,
CL0203,15936260,S,73030,133763,S87SC025-17,5932,S1987SC025707-2,23,36,23,36,A2,575651,S1987SC025707,Bibb,family,"Coarse-loamy, mixed, thermic Typic Fluvaquents",582345,S1987SC025707,5/6/2011 0:00,34.5755556,-79.9725,US,United States,SC,South Carolina,SC025,Chesterfield,133A,Southern Coastal Plain,SC025,"Chesterfield County, South Carolina",NASIS updated 5/4/2020 8:46:45 AM,11/2/2016 13:31,fsl,0.09,4B1a1,0.09,4B1a1,0.09,4B1a1,,,,,,,,,4.4,8C1a,,,,,,,3,,,fsl,3A1a1a,18.7,26.2,54.9,,,
MU009917,15758097,S,42106,41392,M9913114,5397,,36,53,36,53,2Bt1,85397,1999MO131014,Arkana,series,"Very-fine, mixed, active, mesic Mollic Hapludalfs",85635,1999MO131014,7/19/1999 0:00,38.3603514,-92.5425461,US,United States,MO,Missouri,MO131,Miller,116A,Ozark Highland,MO131,"Miller County, Missouri",NASIS updated 5/4/2020 8:42:34 AM,7/25/2019 13:05,C,13.6,6N2,23.6,6O2,0.2,6Q2,,,,,0.9,6A2d,4.7,8C1e,5,8C1a,,,,,,,78,,,C,3A1a1a,77.3,16.8,5.9,,,
84P02533,73559,S,11233,11233,84P0472,1062,,15,45,15,45,Bt1,121958,84GA207001,Hiwassee,series,"Clayey, kaolinitic Typic Rhodudults",120214,S1984GA207001,4/1/1984 0:00,32.9886093,-84.0430527,US,United States,GA,Georgia,GA207,Monroe,136,Southern Piedmont,,,NASIS updated 5/4/2020 8:16:35 AM,4/24/2016 14:12,c,1.81,6N2e,0.36,6O2d,0.05,6Q2b,,,0.025,6B3a,0.23,6A1c,5.6,4C1a2a,5.8,4C1a2a,,,,,,,79,,9,c,3A1a1a,55.3,12.8,31.9,0,1.62,4A1h
MU042156,15777116,S,44944,44230,M9114118,5429,,81,112,81,100,3Bt1,474357,1991MO141018,Estate,taxon above family,"Fine, mixed, active, mesic Typic Hapludalfs",477867,1991MO141018,1/25/2011 0:00,38.9672203,-92.3450012,US,United States,MO,Missouri,MO141,Morgan,116B,Springfield Plain,,,NASIS updated 5/4/2020 8:38:23 AM,8/9/2019 11:20,l,3.8,4B1a1,2.7,4B1a1,0.4,4B1a1,,,,,,,4.3,8C1e,5,8C1a,,,,,,,67,,,l,3A1a1a,20.6,37.3,42.1,,,
19N00484,15950361,S,75694,136290,19N0088,6279,S2018LA003003-2,20,53,20,53,Eg,,S2018LA003003,Guyton,series,"Fine-silty, siliceous, active, thermic Typic Glossaqualf",,S2018LA003003,9/14/2018 0:00,30.76650047,-92.94944763,US,United States,LA,Louisiana,LA003,Allen,152B,Western Gulf Coast Flatwoods,LA003,"Allen Parish, Louisiana",NCSS dated Feb 21 2021  3:00AM,,sil,0.79,4B1a1a,0.08,4B1a1a,0.06,4B1a1a,0.47,4H2a,0.05,4H2a,,,3.7,4C1a2a,4.5,4C1a2a,,,,,,,,0.5,9,sil,3A1a1a,16.4,56.6,27,0,1.52,DbWR1
FL1600504,15814198,S,50651,49925,S16_005,5460,,79,99,79,99,Bh1,517419,1974-FL031-S16_005,Boulogne,,"Typic  Alaquods, sandy, siliceous, thermic.",528655,S1974-FL031-S16_005,4/15/2011 0:00,30.4650497,-81.5304337,US,United States,FL,Florida,FL031,Duval,153B,Tidewater Area,FL031,"Duval County, Florida",NASIS updated 5/4/2020 8:45:15 AM,4/24/2016 14:26,FS,0.1,6N2,,,,,,,,,0.34,6A1a,4.7,8C1e,5.2,8C1a,,,,,,,,,,FS,3A1a1a,3.4,2.3,,,,
91P01314,110585,S,17643,17643,91P0214,2228,,5,43,5,43,Bt1,127078,90NC121001,Fannin,taxadjunct,"Fine, parasesquic, mesic Typic Hapludult",125334,S1990NC121001,11/1/1990 0:00,35.8841667,-82.003891,US,United States,NC,North Carolina,NC121,Mitchell,130,Blue Ridge,NC121,"Mitchell County, North Carolina",NASIS updated 5/4/2020 8:23:27 AM,4/24/2016 14:12,cl,0.55,6N2e,0.5,6O2d,0.15,6Q2b,,,0.088,6B3a,1.52,6A1c,4.3,4C1a2a,4.7,4C1a2a,,,,,,,8,,,cl,3A1a1a,39.6,16.5,43.9,4,1.27,4A1h
MU022281,15790896,S,47057,46343,M0017958,5429,,43,102,43,100,Bt2,1367697,2000MO179058M,Nixa,taxadjunct,"Loamy-skeletal, siliceous, active, mesic Glossic Fragiudults",97572,2000MO179058M,8/28/2000 0:00,37.3212389,-91.0341528,US,United States,MO,Missouri,MO179,Reynolds,116A,Ozark Highland,MO179,"Reynolds County, Missouri",NASIS updated 5/4/2020 8:33:55 AM,12/12/2019 12:32,sl,0.5,4B1a1,0.4,4B1a1,0.04,4B1a1,,,,,0.2,6A2d,4.1,8C1e,4.8,8C1a,,,,,,,18,,,sl,3A1a1a,12.2,23.9,63.9,,,
12N03308,15929147,S,71922,132607,12N8078,5865,S2012GA231001-4,52,76,52,76,Bt2,871710,S2012GA231001,Cecil,series,"Fine, kaolinitic, thermic Typic Kanhapludults",886994,S2012GA231001,,33.1635444,-84.2926778,US,United States,GA,Georgia,GA231,Pike,136,Southern Piedmont,GA642,"Lamar, Pike, and Upson Counties, Georgia",NASIS updated 5/4/2020 7:56:53 AM,8/17/2018 18:20,scl,2.08,4B1a1a,0.73,4B1a1a,0.07,4B1a1a,0.32,4H2a,0.043,4H2a,,,5.6,4C1a2a,5.9,4C1a2a,,,,,,,74,0.3,7,scl,3A1a1a,30.1,23.7,46.2,0,,
MU001572,15749858,S,40963,40249,M0502305,5397,,10,25,10,25,E1,684492,2005MO023005,Clarksville,series,"Loamy-skeletal, siliceous, active, nonacid, mesic Typic Paleudults",687086,2005MO023005,7/28/2005 0:00,36.75,-90.5833333,US,United States,MO,Missouri,MO023,Butler,116A,Ozark Highland,MO605,"Butler County and Part of Ripley County, Missouri",NASIS updated 5/4/2020 8:34:42 AM,7/25/2019 13:05,SIL,0.2,6N2,0.4,6O2,0.2,6Q2,,,,,0.9,6A2d,4.3,8C1e,5.1,8C1a,,,,,,,10,,,SIL,3A1a1a,15.2,64.2,20.5,,,
86P05635,87281,S,13607,13607,86P0935,1489,,33,52,33,52,Btg1,123755,86NC099002,Hemphill,series,"Fine, mixed, active, mesic Mollic Endoaqualfs",122011,S1986NC099002,9/1/1986 0:00,35.4249992,-83.2030563,US,United States,NC,North Carolina,NC099,Jackson,130,Blue Ridge,NC099,"Jackson County, North Carolina",NASIS updated 5/4/2020 8:19:14 AM,1/16/2019 21:20,c,4.54,6N2e,2.72,6O2d,0.07,6Q2b,,,0.149,6B3a,1.27,6A1c,4.8,4C1a2a,5.4,4C1a2a,,,,,,,37,,9,c,3A1a1a,42.6,37.8,19.6,0,1.39,4A1h
40A38705,36626,S,4880,4880,40A5139,1,62403,43,61,43,61,Bt22,100947,S1962GA225022,GREENVILLE,series,,100964,S1962GA225022,7/18/1962 0:00,32.5582275,-83.9065704,US,United States,GA,Georgia,GA225,Peach,,,GA640,"Houston and Peach Counties, Georgia",NASIS updated 5/4/2020 8:05:54 AM,4/23/2016 6:15,c,3,6N2d,0.8,6O2b,0.2,6Q2a,,,,,0.11,6A1a,,,5.9,8C1a,,,,,,,,,,c,3A1a1a,43.6,13.2,43.2,0,1.7,4A1h
FL4002401,15819371,S,51418,50692,S40_024,5460,,0,18,0,18,A,517845,1985-FL079-S40_024,Foxworth,,"Typic Quartzipsamments, thermic, coated",529098,S1985-FL079-S40_024,4/15/2011 0:00,30.3291607,-83.6865463,US,United States,FL,Florida,FL079,Madison,152A,Eastern Gulf Coast Flatwoods,FL079,"Madison County, Florida",NASIS updated 5/4/2020 8:45:45 AM,4/23/2016 6:15,FS,0.3,6N2,0.07,6O2,0.05,6Q2,,,,,0.98,6A1a,4.7,8C1e,4.8,8C1a,,,,,,,,,,FS,3A1a1a,2.7,3.1,,,,
98P00614,150289,S,23543,23543,98P0097,3188,,40,59,40,59,Bg2,109070,97MS143002,Sharkey,,"Very-fine, smectitic, thermic Chromic Epiaquerts",109056,S1997MS143002,11/5/1997 0:00,34.6558609,-90.3080521,US,United States,MS,Mississippi,MS143,Tunica,131,Southern Mississippi Valley Alluvium,MS143,"Tunica County, Mississippi",NASIS updated 5/4/2020 8:29:30 AM,4/23/2016 6:08,c,31.8,6N2e,11.38,6O2d,0.49,6Q2b,1.07,6A2e,0.117,6B4a,,,5.1,4C1a2a,5.2,4C1a2a,,,,,,,87,1.1,9,c,3A1a1a,76.1,23.1,0.8,0,1.81,4A1h
VPI02302,15856724,S,57452,56651,VPI0230,5566,,41,59,41,59,E2,363488,V1984-VA081-230,Dothan,,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",363828,VPI-Dotha-4,9/24/2009 0:00,36.5455093,-77.615036,US,United States,VA,Virginia,VA081,Greensville,133A,Southern Coastal Plain,VA081,"Greensville County, Virginia",NASIS updated 5/4/2020 8:50:54 AM,4/18/2014 18:09,,0.04,6N2a,0,6O2a,0.03,6Q2b,,,,,0.08,6A1a,,,5.1,8C1a,,,,,,,,,,,hyd1,6.4,29.1,64.4,,,
00P03656,161209,S,25240,25240,00P0559,3513,,0,18,0,18,Ap,108249,99NC123003,Hiwassee,series,"Fine, kaolinitic Typic Rhodudults",108235,S1999NC123003,6/7/1999 0:00,,,US,United States,NC,North Carolina,NC123,Montgomery,,,NC123,"Montgomery County, North Carolina",NASIS updated 5/4/2020 7:36:32 AM,4/24/2016 14:12,l,,,,,,,1.56,6A2e,0.097,6B4a,,,4.4,4C1a2a,4.9,4C1a2a,,,,,,,,1.6,,l,3A1a1a,20.3,31.1,48.6,3,,
MU012566,15760707,S,42497,41783,M9617933,5397,,0,10,0,10,A,95839,1996MO179033M,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",97070,1996MO179033M,6/25/1996 0:00,37.4774361,-90.9419528,US,United States,MO,Missouri,MO179,Reynolds,116A,Ozark Highland,MO179,"Reynolds County, Missouri",NASIS updated 5/4/2020 8:41:11 AM,7/25/2019 13:05,SIL,1.6,6N2,0.4,6O2,0.2,6Q2,,,,,3.3,6A2d,4.5,8C1e,5,8C1a,,,,,,,24,,,SIL,3A1a1a,9.4,53.7,36.8,,,
11N00361,15831087,S,53441,132697,11N0067,5515,S10GA023002-3,28,50,28,50,Bt,890510,S2010GA023002,Dothan,series,"Fine-loamy, kaolinitic, thermic Plinthic Kandiudults",908406,S2010GA023002,8/22/2013 0:00,32.3966111,-83.3633333,US,United States,GA,Georgia,GA023,Bleckley,133A,Southern Coastal Plain,GA610,"Bleckley, Dodge, and Telfair Counties, Georgia",NASIS updated 5/4/2020 7:50:44 AM,2/6/2018 18:01,sl,1.2,4B1a1a,0.9,4B1a1a,0.41,4B1a1a,0.2,4H2a,0.026,4H2a,,,5.4,4C1a2a,6.2,4C1a2a,,,,,,,81,0.2,7,sl,3A1a1a,19.2,14.2,66.6,4,,
00P02979,160532,S,25162,25162,00P0480,3498,,63,101,63,100,Bssg2,111167,99MS125002,Sharkey,series,,111153,S1999MS125002,10/1/1999 0:00,,,US,United States,MS,Mississippi,MS125,Sharkey,,,MS125,"Sharkey County, Mississippi",NASIS updated 5/4/2020 7:36:26 AM,4/23/2016 6:08,c,34.1,6N2i,14.63,6O2h,1.28,6Q2f,0.76,6A2e,0.111,6B4a,,,7,4C1a2a,7.1,4C1a2a,,,,,,,100,0.7,7,c,3A1a1a,76.3,23.4,0.3,0,1.79,4A1h
FL4500701,15819080,S,51370,50644,S45_007,5460,,0,5,0,5,A,517893,1984-FL089-S45_007,Albany,,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",529171,S1984-FL089-S45_007,4/15/2011 0:00,30.70438,-81.6286926,US,United States,FL,Florida,FL089,Nassau,153B,Tidewater Area,FL089,"Nassau County, Florida",NASIS updated 5/4/2020 8:45:49 AM,4/24/2016 14:26,FS,0.52,6N2,0.13,6O2,0.03,6Q2,,,,,1.55,6A1a,4.5,8C1e,4.9,8C1a,,,,,,,,,,FS,3A1a1a,3,4.7,,,,
